"Year","state_fips","state_abbr","state_name","deflator"
2023,"23","ME","Maine",1.02989793711443
2023,"26","MI","Michigan",1.06175146521702
2023,"27","MN","Minnesota",1.01608461952711
2023,"29","MO","Missouri",1.08977572415597
2023,"28","MS","Mississippi",1.14558035100582
2023,"30","MT","Montana",1.10810691015469
2023,"37","NC","North Carolina",1.06225899998938
2023,"38","ND","North Dakota",1.12902497403243
2023,"31","NE","Nebraska",1.1064884482606
2023,"33","NH","New Hampshire",0.949261948834781
2023,"34","NJ","New Jersey",0.91841701643048
2023,"35","NM","New Mexico",1.10636603013741
2023,"32","NV","Nevada",1.03114044132811
2023,"36","NY","New York",0.929143515507405
2023,"39","OH","Ohio",1.08918224197273
2023,"40","OK","Oklahoma",1.1326824185035
2023,"41","OR","Oregon",0.954918306738858
2023,"42","PA","Pennsylvania",1.02564102564103
2023,"44","RI","Rhode Island",0.986076598430166
2023,"45","SC","South Carolina",1.07322622535604
2023,"46","SD","South Dakota",1.13513820307622
2023,"47","TN","Tennessee",1.08090579905961
2023,"48","TX","Texas",1.02907126318498
2023,"49","UT","Utah",1.05260941874908
2023,"51","VA","Virginia",0.992565683034075
2023,"50","VT","Vermont",1.03482175195323
2023,"53","WA","Washington",0.921132624675301
2023,"55","WI","Wisconsin",1.07414846880136
2023,"54","WV","West Virginia",1.11393307490086
2023,"56","WY","Wyoming",1.10073969707644
