"YEAR","AGE","n_obs","mean_wage","mean_wage_index","mean_wage_6yr_proj","mean_wage_npv_3pct","mean_wage_npv_7pct","exp_lifetime_mean_3pct","exp_lifetime_mean_7pct"
2021,22,12939,27830.8622935442,1,11.1669405691609,80.3321945637438,40.7264596383475,80.3321945637438,40.7264596383475
2021,23,24315,36331.5638024034,1.30544154252925,9.42437434570215,81.7121604006561,42.5073118130319,62.5935039897242,32.5616356061991
2021,24,30681,43212.561432402,1.55268496450524,8.61117536577434,82.8189204238707,44.0860011894378,53.339165585506,28.3933973711697
2021,25,35684,52093.3553154458,1.87178373296503,7.63363163055695,83.7042225231464,45.5106483606778,44.7189603419373,24.3140527183587
2021,26,38224,55197.3843647715,1.9833156365254,7.6780227619086,84.2874119538868,46.6935851516527,42.4982339682205,23.5431941803554
2021,27,40906,60142.2775862978,2.16099224493841,7.4661671576553,84.7732192068823,47.8399883811862,39.2288400874379,22.1379731895103
2021,28,43266,63808.4427191874,2.29272244769753,7.42000692391262,85.0905937708022,48.8765258657852,37.1133426360677,21.3181172081556
2021,29,44912,67948.2364205068,2.44147075659486,7.36922924739688,85.2818074627978,49.8446696573538,34.9305054063973,20.4158372664158
2021,30,47675,72921.2480925008,2.62015769843452,7.21977255125398,85.325546807389,50.721422823812,32.5650425004453,19.3581565163489
2021,31,47263,77643.8956945647,2.78984872533308,7.0833985307261,85.1865507822231,51.4683536841539,30.5344694888619,18.4484388765592
2021,32,47750,81342.6730374759,2.92275072829291,7.03305028664689,84.8686031185967,52.0860003059383,29.0372361546433,17.8208835265128
2021,33,46439,85367.8017371692,3.06737897075405,6.94900140968998,84.4042279620129,52.6046770480806,27.5167264191239,17.149715620287
2021,34,46127,88235.2317982354,3.17040955711613,6.95030419004394,83.7769544609966,53.0049089427394,26.42464733711,16.7186314537084
2021,35,46401,95215.2807790907,3.42121202623238,6.6019996805997,83.0247412509969,53.3229143426169,24.2676398347717,15.5859718525949
2021,36,44870,98669.942334883,3.5453426233858,6.49069233210651,81.9916351015075,53.3948214785314,23.1265758521261,15.0605532808954
2021,37,43830,101151.726995876,3.63451645619114,6.46731359566003,80.7996812524653,53.3389423750058,22.231205230844,14.6756640169139
2021,38,43001,103447.12627759,3.71699321373835,6.44933803079027,79.4801197401624,53.1837357331317,21.3829068738669,14.3082681820778
2021,39,41846,106501.666428048,3.82674691515945,6.34828733738441,78.0360203222168,52.9294144957509,20.3922605942612,13.8314384695977
2021,40,41566,108275.958461286,3.89049959427244,6.34026934069665,76.435551609269,52.5398543112328,19.6467188228979,13.5046548748088
2021,41,39536,110564.832794085,3.97274190170285,6.29235786079074,74.7214035754465,52.0548095471476,18.8085220294373,13.1029930549566
2021,42,38363,110494.927165532,3.97023009923637,6.39318550604411,72.871121523956,51.4478123806259,18.3543824167702,12.9583956331703
2021,43,37825,114895.42809838,4.12834596666565,6.19197898010155,70.9679181674612,50.8010130410868,17.1903999181493,12.3054156437662
2021,44,37173,116432.672730696,4.18358121651533,6.13543255976453,68.8447593668194,49.9397537696306,16.4559394939063,11.9370824145796
2021,45,37257,115439.361145536,4.14789020648899,6.232087727458,66.6010134948132,48.9591046318334,16.0565999048437,11.8033752569539
2021,46,37451,118671.517832406,4.26402590694911,6.08247619002949,64.3267169869739,47.9479994351185,15.0859113876724,11.2447720725564
2021,47,38327,119779.587786324,4.30384033821722,6.02343756682914,61.8645718124255,46.7418516751412,14.3742720339974,10.8604985319932
2021,48,38908,121195.999252735,4.35473389126171,5.94793410936231,59.2875534184346,45.4086721305087,13.6145066263181,10.4274275453723
2021,49,38467,119910.936947244,4.30855988874836,6.0136852597852,56.580804112988,43.9277139159943,13.1321846681873,10.1954516242677
