"DOT_category","dot_title_norm","SOC","soc_title_norm"
"601","inspector set up and lay out","51-9061.00","inspectors testers sorters samplers and weighers"
"601","template maker extrusion die","51-4062.00","patternmakers metal and plastic"
"601","tool machine set up operator","51-4081.00","multiple machine tool setters operators and tenders metal and plastic"
"601","tool and fixture repairer","49-9041.00","industrial machinery mechanics"
"601","die polisher","51-4194.00","tool grinders filers and sharpeners"
"601","profile grinder technician","51-4033.00","grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic"
"601","tool dresser","51-4199.00","metal workers and plastic workers all other"
"602","gear cutting machine set up operator tool","51-4081.00","multiple machine tool setters operators and tenders metal and plastic"
"602","grinder set up operator gear tool","51-4033.00","grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic"
"602","gear inspector","51-9061.00","inspectors testers sorters samplers and weighers"
"603","supervisor grinding","51-1011.00","first line supervisors of production and operating workers"
"603","grinder set up operator thread tool","51-4033.00","grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic"
"603","grinder operator external tool","51-4194.00","tool grinders filers and sharpeners"
"603","polishing machine operator helper","53-7063.00","machine feeders and offbearers"
"604","supervisor roll shop","51-1011.00","first line supervisors of production and operating workers"
"604","screw machine set up operator swiss type","51-4034.00","lathe and turning machine tool setters operators and tenders metal and plastic"
"604","lathe operator numerical control","51-9161.00","computer numerically controlled tool operators"
"604","threading machine feeder automatic i","53-7063.00","machine feeders and offbearers"
"605","milling machine set up operator i","51-4035.00","milling and planing machine setters operators and tenders metal and plastic"
"605","router set up operator numerical control","51-9161.00","computer numerically controlled tool operators"
"606","boring machine set up operator jig","51-4032.00","drilling and boring machine tool setters operators and tenders metal and plastic"
"606","drill press operator numerical control","51-9161.00","computer numerically controlled tool operators"
"607","contour band saw operator vertical","51-4031.00","cutting punching and press machine setters operators and tenders metal and plastic"
"607","magnesium mill operator","51-4035.00","milling and planing machine setters operators and tenders metal and plastic"
"609","machine shop supervisor production","51-1011.00","first line supervisors of production and operating workers"
"609","gunsmith ballistics laboratory","51-4081.00","multiple machine tool setters operators and tenders metal and plastic"
"609","tool programmer numerical control","51-9162.00","computer numerically controlled tool programmers"
"609","trim machine adjuster","51-4031.00","cutting punching and press machine setters operators and tenders metal and plastic"
"609","numerical control machine set up operator","51-9161.00","computer numerically controlled tool operators"
"609","inspector floor","51-9061.00","inspectors testers sorters samplers and weighers"
"609","electrical discharge machine set up operator","51-4199.00","metal workers and plastic workers all other"
"609","threading machine setter","51-4034.00","lathe and turning machine tool setters operators and tenders metal and plastic"
"609","nicking machine operator","51-4033.00","grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic"
"609","laborer general","51-9198.00","helpers production workers"
"609","ball sorter","51-9199.00","production workers all other"
"610","drophammer operator","51-4022.00","forging machine setters operators and tenders metal and plastic"
"610","blacksmith","51-4199.00","metal workers and plastic workers all other"
"610","blacksmith helper","51-9198.00","helpers production workers"
"611","forging press operator i","51-4022.00","forging machine setters operators and tenders metal and plastic"
"612","spikemaking supervisor","51-1011.00","first line supervisors of production and operating workers"
"612","fastener technologist","51-4022.00","forging machine setters operators and tenders metal and plastic"
"612","inspector","51-9061.00","inspectors testers sorters samplers and weighers"
"612","spike machine feeder","53-7063.00","machine feeders and offbearers"
"612","manipulator operator","53-7199.00","material moving workers all other"
"612","utility worker forge","51-9198.00","helpers production workers"
"612","spring tester i","51-4031.00","cutting punching and press machine setters operators and tenders metal and plastic"
"613","supervisor blooming mill","51-1011.00","first line supervisors of production and operating workers"
"613","roll forming machine set up mechanic","51-4023.00","rolling machine setters operators and tenders metal and plastic"
"613","heater i","51-4191.00","heat treating equipment setters operators and tenders metal and plastic"
"613","coiler operator","51-4199.00","metal workers and plastic workers all other"
"613","liner assembler","51-4121.00","welders cutters solderers and brazers"
"613","mill hand plate mill","51-9061.00","inspectors testers sorters samplers and weighers"
"613","heater helper","51-9198.00","helpers production workers"
"613","bed operator","53-7011.00","conveyor operators and tenders"
"613","catcher","53-7063.00","machine feeders and offbearers"
"613","plugger","51-9161.00","computer numerically controlled tool operators"
"613","plugger","51-9162.00","computer numerically controlled tool programmers"
"613","plugger","51-9199.00","production workers all other"
"614","supervisor drawing","51-1011.00","first line supervisors of production and operating workers"
"614","extrusion press adjuster","51-4021.00","extruding and drawing machine setters operators and tenders metal and plastic"
"614","wire charger","53-7063.00","machine feeders and offbearers"
"614","billet assembler","51-4122.00","welding soldering and brazing machine setters operators and tenders"
"614","tester operator","51-9061.00","inspectors testers sorters samplers and weighers"
"614","reducing machine operator","51-4199.00","metal workers and plastic workers all other"
"614","draw bench operator helper","51-9198.00","helpers production workers"
"615","press hand supervisor","51-1011.00","first line supervisors of production and operating workers"
"615","slitter service and setter","51-4031.00","cutting punching and press machine setters operators and tenders metal and plastic"
"615","burring machine operator","51-4033.00","grinding lapping polishing and buffing machine tool setters operators and tenders metal and plastic"
"615","cup trimming machine operator","51-4034.00","lathe and turning machine tool setters operators and tenders metal and plastic"
"615","cutter machine tender","51-9032.00","cutting and slicing machine setters operators and tenders"
"615","helper shear operator","51-9198.00","helpers production workers"
"616","supervisor","51-1011.00","first line supervisors of production and operating workers"
"616","embossing toolsetter","51-4199.00","metal workers and plastic workers all other"
"616","spring coiling machine setter","51-4031.00","cutting punching and press machine setters operators and tenders metal and plastic"
"616","spring maker","51-4081.00","multiple machine tool setters operators and tenders metal and plastic"
"616","shotgun shell assembly machine adjuster","51-9161.00","computer numerically controlled tool operators"
"616","shotgun shell assembly machine adjuster","51-9162.00","computer numerically controlled tool programmers"
"616","shotgun shell assembly machine adjuster","51-9199.00","production workers all other"
"616","spring inspector i","51-9061.00","inspectors testers sorters samplers and weighers"
"616","wire weaver cloth","51-6063.00","textile knitting and weaving machine setters operators and tenders"
"616","hydraulic press operator","49-9099.00","installation maintenance and repair workers all other"
"616","zipper cutter","51-9032.00","cutting and slicing machine setters operators and tenders"
"616","stranding machine operator helper","51-9198.00","helpers production workers"
"617","supervisor","51-1011.00","first line supervisors of production and operating workers"
"617","press operator heavy duty","51-4031.00","cutting punching and press machine setters operators and tenders metal and plastic"
"617","shot peening operator","51-9161.00","computer numerically controlled tool operators"
"617","job setter spline rolling machine","51-4023.00","rolling machine setters operators and tenders metal and plastic"
"617","spring former machine","51-4199.00","metal workers and plastic workers all other"
"617","swaging machine operator","51-9162.00","computer numerically controlled tool programmers"
"617","swaging machine operator","51-9199.00","production workers all other"
"617","embossing machine operator","51-5112.00","printing press operators"
"617","hoop coiler","53-7063.00","machine feeders and offbearers"
"619","hydraulic pressure auto frettage machine operator supervisor","51-1011.00","first line supervisors of production and operating workers"
"619","ornamental metal worker apprentice","51-4081.00","multiple machine tool setters operators and tenders metal and plastic"
"619","inspector metal fabricating","51-9061.00","inspectors testers sorters samplers and weighers"
"619","needlemaker","51-4199.00","metal workers and plastic workers all other"
"619","casting repairer","49-9099.00","installation maintenance and repair workers all other"
"619","former hand","51-2041.00","structural metal fabricators and fitters"
"619","roll operator i","51-4023.00","rolling machine setters operators and tenders metal and plastic"
"619","spinner hand","51-4034.00","lathe and turning machine tool setters operators and tenders metal and plastic"
"619","punch press setter","51-4031.00","cutting punching and press machine setters operators and tenders metal and plastic"
"619","spring repairer hand","49-3023.00","automotive service technicians and mechanics"
"619","ornamental metal worker helper","51-9198.00","helpers production workers"
"619","shrink pit operator","51-9051.00","furnace kiln oven drier and kettle operators and tenders"
"619","winding machine operator","51-9161.00","computer numerically controlled tool operators"
"619","winding machine operator","51-9162.00","computer numerically controlled tool programmers"
"619","winding machine operator","51-9199.00","production workers all other"
"619","heater","51-4191.00","heat treating equipment setters operators and tenders metal and plastic"
"619","automatic stacker","53-7063.00","machine feeders and offbearers"
"620","supervisor endless track vehicle","49-1011.00","first line supervisors of mechanics installers and repairers"
"620","automobile mechanic","49-3023.00","automotive service technicians and mechanics"
"620","automobile tester","51-9061.00","inspectors testers sorters samplers and weighers"
"620","construction equipment mechanic","49-3042.00","mobile heavy equipment mechanics except engines"
"620","electric golf cart repairer","49-2092.00","electric motor power tool and related repairers"
"620","automotive maintenance equipment servicer","49-9041.00","industrial machinery mechanics"
"620","maintenance mechanic","49-3031.00","bus and truck mechanics and diesel engine specialists"
