"DOT_category","dot_title_norm","SOC","soc_title_norm"
"575","fiber machine tender","51-6091.00","extruding and forming machine setters operators and tenders synthetic and glass fibers"
"575","dry press operator helper","51-9198.00","helpers production workers"
"575","molder helper","53-7063.00","machine feeders and offbearers"
"575","mat inspector","51-9061.00","inspectors testers sorters samplers and weighers"
"575","pipe stripper","53-7062.00","laborers and freight stock and material movers hand"
"575","tip out worker","53-7011.00","conveyor operators and tenders"
"579","supervisor board mill","51-1011.00","first line supervisors of production and operating workers"
"579","dispatcher concrete products","53-1043.00","first line supervisors of material moving machine and vehicle operators"
"579","dispatcher concrete products","53-1044.00","first line supervisors of passenger attendants"
"579","dispatcher concrete products","53-1049.00","first line supervisors of transportation workers all other"
"579","quality control technician","51-9061.00","inspectors testers sorters samplers and weighers"
"579","board machine set up operator","51-9161.00","computer numerically controlled tool operators"
"579","board machine set up operator","51-9162.00","computer numerically controlled tool programmers"
