applicant_id,DOT_category,job_norm,predicted_SOC,predicted_SOC_title,similarity_score,method,alt1_SOC,alt1_SOC_title,alt1_score,alt2_SOC,alt2_SOC_title,alt2_score,alt3_SOC,alt3_SOC_title,alt3_score
147255,30.0,software development engineer,15-1252.00,software developers,0.5534238815307617,global_similarity,15-1252.00,software developers,0.5534238815307617,15-1253.00,software quality assurance analysts and testers,0.43510088324546814,15-1221.00,computer and information research scientists,0.3047299087047577
148323,30.0,data scientist,15-2051.00,data scientists,0.2572735548019409,global_similarity,15-2051.00,data scientists,0.2572735548019409,15-1211.00,computer systems analysts,0.24606378376483917,19-1011.00,animal scientists,0.24386312067508698
148660,20.0,associate,25-4012.00,curators,0.46077921986579895,global_similarity,25-4012.00,curators,0.46077921986579895,43-4081.00,hotel motel and resort desk clerks,0.2488706260919571,11-1011.00,chief executives,0.0
149088,30.0,software development engineer soft,15-1252.00,software developers,0.4398588240146637,global_similarity,15-1252.00,software developers,0.4398588240146637,15-1253.00,software quality assurance analysts and testers,0.3458162248134613,15-1221.00,computer and information research scientists,0.24219797551631927
149491,30.0,hi designer,17-3013.00,mechanical drafters,0.33439162373542786,global_similarity,17-3013.00,mechanical drafters,0.33439162373542786,17-3013.00,mechanical drafters,0.329987496137619,17-2199.08,robotics engineers,0.31771764159202576
149577,30.0,strategic business developer,51-9199.00,production workers all other,0.32397979497909546,global_similarity,51-9199.00,production workers all other,0.32397979497909546,25-1011.00,business teachers postsecondary,0.3198319375514984,51-9161.00,computer numerically controlled tool operators,0.30860134959220886
149795,160.0,senior project accountant,13-2011.00,accountants and auditors,0.24214386940002441,global_similarity,13-2011.00,accountants and auditors,0.24214386940002441,13-1071.00,human resources specialists,0.18327274918556213,43-1011.00,first line supervisors of office and administrative support workers,0.17874370515346527
150070,30.0,solutions architect,17-1012.00,landscape architects,0.32705721259117126,global_similarity,17-1012.00,landscape architects,0.32705721259117126,17-1011.00,architects except landscape and naval,0.31904464960098267,17-2121.00,marine engineers and naval architects,0.2818155288696289
150464,,it business consultant,13-1199.00,business operations specialists all other,0.4888083338737488,global_similarity,13-1199.00,business operations specialists all other,0.4888083338737488,13-1199.00,business operations specialists all other,0.42383018136024475,25-1011.00,business teachers postsecondary,0.3361363410949707
150611,,qualified mental health profession,21-1014.00,mental health counselors,0.5457214117050171,global_similarity,21-1014.00,mental health counselors,0.5457214117050171,21-1023.00,mental health and substance abuse social workers,0.39136192202568054,21-1091.00,health education specialists,0.19577470421791077
150645,30.0,full stack engineer,15-1252.00,software developers,0.42372193932533264,global_similarity,15-1252.00,software developers,0.42372193932533264,15-1251.00,computer programmers,0.33719995617866516,51-9161.00,computer numerically controlled tool operators,0.333776593208313
150651,39.0,sr analyst sales operations analyt,15-2031.00,operations research analysts,0.343939870595932,global_similarity,15-2031.00,operations research analysts,0.343939870595932,13-1199.00,business operations specialists all other,0.27467504143714905,13-1199.00,business operations specialists all other,0.27380210161209106
150729,30.0,engineering project manager,13-1082.00,project management specialists,0.7039448618888855,global_similarity,13-1082.00,project management specialists,0.7039448618888855,13-1082.00,project management specialists,0.6021636724472046,13-1082.00,project management specialists,0.5151585936546326
150823,30.0,computer systems engineer,15-1299.08,computer systems engineers architects,0.6140061020851135,global_similarity,15-1299.08,computer systems engineers architects,0.6140061020851135,15-1211.00,computer systems analysts,0.44709518551826477,15-1211.00,computer systems analysts,0.4324226975440979
